freq,unit,geo,2019
A,EUR_HAB,DE7,47100
A,EUR_HAB,DE71,52900
A,EUR_HAB,DE711,82400
A,EUR_HAB,DE712,97500
A,EUR_HAB,DE713,37500
A,EUR_HAB,DE714,65800
A,EUR_HAB,DE715,29600
A,EUR_HAB,DE716,29400
A,EUR_HAB,DE717,46300
A,EUR_HAB,DE718,49300
A,EUR_HAB,DE719,37200
A,EUR_HAB,DE71A,57900
A,EUR_HAB,DE71B,27000
A,EUR_HAB,DE71C,41100
A,EUR_HAB,DE71D,26200
A,EUR_HAB,DE71E,30500
A,EUR_HAB,DE72,35700
A,EUR_HAB,DE721,37400
A,EUR_HAB,DE722,35700
A,EUR_HAB,DE723,31900
A,EUR_HAB,DE724,39700
A,EUR_HAB,DE725,28000
A,EUR_HAB,DE73,37800
A,EUR_HAB,DE731,54200
A,EUR_HAB,DE732,38700
A,EUR_HAB,DE733,39000
A,EUR_HAB,DE734,31100
A,EUR_HAB,DE735,32400
A,EUR_HAB,DE736,38700
A,EUR_HAB,DE737,25900
A,EUR_HAB,DE8,29600
A,EUR_HAB,DE80,29600
A,EUR_HAB,DE803,39800
A,EUR_HAB,DE804,42100
A,EUR_HAB,DE80J,29200
A,EUR_HAB,DE80K,27200
A,EUR_HAB,DE80L,26700
A,EUR_HAB,DE80M,25900
A,EUR_HAB,DE80N,26600
A,EUR_HAB,DE80O,26000
A,EUR_HAB,DE9,38900
A,EUR_HAB,DE91,51300
A,EUR_HAB,DE911,82800
A,EUR_HAB,DE912,55600
A,EUR_HAB,DE913,196000
A,EUR_HAB,DE914,21600
A,EUR_HAB,DE916,29300
A,EUR_HAB,DE917,21100
A,EUR_HAB,DE918,28900
A,EUR_HAB,DE91A,22400
A,EUR_HAB,DE91B,21400
A,EUR_HAB,DE91C,36200
A,EUR_HAB,DE92,39900
A,EUR_HAB,DE922,31500
A,EUR_HAB,DE923,36200
A,EUR_HAB,DE925,29700
A,EUR_HAB,DE926,32100
A,EUR_HAB,DE927,32200
A,EUR_HAB,DE928,26500
A,EUR_HAB,DE929,47500
A,EUR_HAB,DE93,29300
A,EUR_HAB,DE931,30800
A,EUR_HAB,DE932,24700
A,EUR_HAB,DE933,25400
A,EUR_HAB,DE934,26200
A,EUR_HAB,DE935,29600
A,EUR_HAB,DE936,21400
A,EUR_HAB,DE937,33500
A,EUR_HAB,DE938,35600
A,EUR_HAB,DE939,32500
A,EUR_HAB,DE93A,28800
A,EUR_HAB,DE93B,33100
A,EUR_HAB,DE94,36800
A,EUR_HAB,DE941,23600
A,EUR_HAB,DE942,75100
A,EUR_HAB,DE943,48800
A,EUR_HAB,DE944,52100
A,EUR_HAB,DE945,42400
A,EUR_HAB,DE946,32400
A,EUR_HAB,DE947,27300
A,EUR_HAB,DE948,35600
A,EUR_HAB,DE949,44000
A,EUR_HAB,DE94A,28000
A,EUR_HAB,DE94B,33700
A,EUR_HAB,DE94C,27000
A,EUR_HAB,DE94D,25800
A,EUR_HAB,DE94E,31800
A,EUR_HAB,DE94F,46300
A,EUR_HAB,DE94G,33500
A,EUR_HAB,DE94H,28300
A,EUR_HAB,DEA,40000
A,EUR_HAB,DEA1,42500
A,EUR_HAB,DEA11,83900
A,EUR_HAB,DEA12,35700
A,EUR_HAB,DEA13,45200
A,EUR_HAB,DEA14,41500
A,EUR_HAB,DEA15,34700
A,EUR_HAB,DEA16,36300
A,EUR_HAB,DEA17,27200
A,EUR_HAB,DEA18,38200
A,EUR_HAB,DEA19,32800
A,EUR_HAB,DEA1A,37800
A,EUR_HAB,DEA1B,32100
A,EUR_HAB,DEA1C,42500
A,EUR_HAB,DEA1D,40200
A,EUR_HAB,DEA1E,29800
A,EUR_HAB,DEA1F,30100
A,EUR_HAB,DEA2,43600
A,EUR_HAB,DEA22,76100
A,EUR_HAB,DEA23,61100
A,EUR_HAB,DEA24,51700
A,EUR_HAB,DEA26,30700
A,EUR_HAB,DEA27,36700
A,EUR_HAB,DEA28,28300
A,EUR_HAB,DEA29,26700
A,EUR_HAB,DEA2A,37000
A,EUR_HAB,DEA2B,29200
A,EUR_HAB,DEA2C,28900
A,EUR_HAB,DEA2D,39200
A,EUR_HAB,DEA3,34800
A,EUR_HAB,DEA31,24100
A,EUR_HAB,DEA32,32100
A,EUR_HAB,DEA33,57700
A,EUR_HAB,DEA34,39100
A,EUR_HAB,DEA35,29900
A,EUR_HAB,DEA36,27100
A,EUR_HAB,DEA37,33700
A,EUR_HAB,DEA38,32700
A,EUR_HAB,DEA4,39500
A,EUR_HAB,DEA41,42600
A,EUR_HAB,DEA42,50400
A,EUR_HAB,DEA43,35200
A,EUR_HAB,DEA44,29000
A,EUR_HAB,DEA45,31500
A,EUR_HAB,DEA46,43100
A,EUR_HAB,DEA47,37000
A,EUR_HAB,DEA5,36000
A,EUR_HAB,DEA51,35000
A,EUR_HAB,DEA52,40800
A,EUR_HAB,DEA53,34800
A,EUR_HAB,DEA54,30500
A,EUR_HAB,DEA55,26400
A,EUR_HAB,DEA56,31200
A,EUR_HAB,DEA57,38500
A,EUR_HAB,DEA58,37200
A,EUR_HAB,DEA59,41400
A,EUR_HAB,DEA5A,41200
A,EUR_HAB,DEA5B,37200
A,EUR_HAB,DEA5C,31300
A,EUR_HAB,DEB,36000
A,EUR_HAB,DEB1,34600
A,EUR_HAB,DEB11,71500
A,EUR_HAB,DEB12,27000
A,EUR_HAB,DEB13,27800
A,EUR_HAB,DEB14,30300
A,EUR_HAB,DEB15,30200
A,EUR_HAB,DEB17,32000
A,EUR_HAB,DEB18,34000
A,EUR_HAB,DEB1A,27900
A,EUR_HAB,DEB1B,35100
A,EUR_HAB,DEB1C,32500
A,EUR_HAB,DEB1D,36700
A,EUR_HAB,DEB2,31400
A,EUR_HAB,DEB21,44500
A,EUR_HAB,DEB22,32500
A,EUR_HAB,DEB23,30000
A,EUR_HAB,DEB24,33600
A,EUR_HAB,DEB25,20800
A,EUR_HAB,DEB3,38100
A,EUR_HAB,DEB31,37000
A,EUR_HAB,DEB32,49500
A,EUR_HAB,DEB33,43400
A,EUR_HAB,DEB34,80500
A,EUR_HAB,DEB35,57500
A,EUR_HAB,DEB36,32200
A,EUR_HAB,DEB37,38700
A,EUR_HAB,DEB38,55200
A,EUR_HAB,DEB39,40600
A,EUR_HAB,DEB3A,49300
A,EUR_HAB,DEB3B,25400
A,EUR_HAB,DEB3C,22500
A,EUR_HAB,DEB3D,29000
A,EUR_HAB,DEB3E,34900
A,EUR_HAB,DEB3F,21400
A,EUR_HAB,DEB3G,18200
A,EUR_HAB,DEB3H,28100
A,EUR_HAB,DEB3I,20300
A,EUR_HAB,DEB3J,37700
A,EUR_HAB,DEB3K,16600
A,EUR_HAB,DEC,36300
A,EUR_HAB,DEC0,36300
A,EUR_HAB,DEC01,44800
A,EUR_HAB,DEC02,27700
A,EUR_HAB,DEC03,26000
A,EUR_HAB,DEC04,33100
A,EUR_HAB,DEC05,40000
A,EUR_HAB,DEC06,30900
A,EUR_HAB,DED,32000
A,EUR_HAB,DED2,32700
A,EUR_HAB,DED21,42500
A,EUR_HAB,DED2C,27700
A,EUR_HAB,DED2D,28900
A,EUR_HAB,DED2E,28700
A,EUR_HAB,DED2F,24200
A,EUR_HAB,DED4,29600
A,EUR_HAB,DED41,37700
A,EUR_HAB,DED42,24400
A,EUR_HAB,DED43,28200
A,EUR_HAB,DED44,26500
A,EUR_HAB,DED45,32200
A,EUR_HAB,DED5,34300
A,EUR_HAB,DED51,38900
A,EUR_HAB,DED52,28100
A,EUR_HAB,DED53,28800
A,EUR_HAB,DEE,29400
A,EUR_HAB,DEE0,29400
A,EUR_HAB,DEE01,30500
A,EUR_HAB,DEE02,32400
A,EUR_HAB,DEE03,36300
A,EUR_HAB,DEE04,25000
A,EUR_HAB,DEE05,31500
A,EUR_HAB,DEE06,26900
A,EUR_HAB,DEE07,30000
A,EUR_HAB,DEE08,26500
A,EUR_HAB,DEE09,25200
A,EUR_HAB,DEE0A,22100
A,EUR_HAB,DEE0B,36200
A,EUR_HAB,DEE0C,26700
A,EUR_HAB,DEE0D,27500
A,EUR_HAB,DEE0E,26000
A,EUR_HAB,DEF,34400
A,EUR_HAB,DEF0,34400
A,EUR_HAB,DEF01,44200
A,EUR_HAB,DEF02,49100
A,EUR_HAB,DEF03,45500
A,EUR_HAB,DEF04,44100
A,EUR_HAB,DEF05,34900
A,EUR_HAB,DEF06,24400
A,EUR_HAB,DEF07,37000
A,EUR_HAB,DEF08,28100
A,EUR_HAB,DEF09,30600
A,EUR_HAB,DEF0A,21600
A,EUR_HAB,DEF0B,31400
A,EUR_HAB,DEF0C,27700
A,EUR_HAB,DEF0D,33000
A,EUR_HAB,DEF0E,35600
A,EUR_HAB,DEF0F,35200
A,EUR_HAB,DEG,29900
A,EUR_HAB,DEG0,29900
A,EUR_HAB,DEG01,41600
A,EUR_HAB,DEG02,29800
A,EUR_HAB,DEG03,46000
A,EUR_HAB,DEG04,35600
A,EUR_HAB,DEG05,31300
A,EUR_HAB,DEG06,26600
A,EUR_HAB,DEG07,26900
A,EUR_HAB,DEG09,25500
A,EUR_HAB,DEG0A,23000
A,EUR_HAB,DEG0B,28500
A,EUR_HAB,DEG0C,29300
A,EUR_HAB,DEG0D,26600
A,EUR_HAB,DEG0E,23200
A,EUR_HAB,DEG0F,30300
A,EUR_HAB,DEG0G,24300
A,EUR_HAB,DEG0H,28800
A,EUR_HAB,DEG0I,27300
A,EUR_HAB,DEG0J,24100
A,EUR_HAB,DEG0K,30400
A,EUR_HAB,DEG0L,24300
A,EUR_HAB,DEG0M,22800
A,EUR_HAB,DEG0N,39100
A,EUR_HAB,DEG0P,28100
A,EUR_HAB,NL,46900
A,EUR_HAB,NL1,35800
A,EUR_HAB,NL11,42500
A,EUR_HAB,NL111,25600
A,EUR_HAB,NL112,36600
A,EUR_HAB,NL113,48800
A,EUR_HAB,NL12,32700
A,EUR_HAB,NL124,32600
A,EUR_HAB,NL125,28800
A,EUR_HAB,NL126,35800
A,EUR_HAB,NL13,31900
A,EUR_HAB,NL131,30900
A,EUR_HAB,NL132,30200
A,EUR_HAB,NL133,35500
A,EUR_HAB,NL2,38900
A,EUR_HAB,NL21,39500
A,EUR_HAB,NL211,42600
A,EUR_HAB,NL212,37900
A,EUR_HAB,NL213,38000
A,EUR_HAB,NL22,39500
A,EUR_HAB,NL221,42100
A,EUR_HAB,NL224,39800
A,EUR_HAB,NL225,33900
A,EUR_HAB,NL226,40000
A,EUR_HAB,NL23,34600
A,EUR_HAB,NL230,34600
A,EUR_HAB,NL3,53100
A,EUR_HAB,NL31,58600
A,EUR_HAB,NL310,58600
A,EUR_HAB,NL32,62600
A,EUR_HAB,NL321,31100
A,EUR_HAB,NL323,34400
A,EUR_HAB,NL324,33200
A,EUR_HAB,NL325,31400
A,EUR_HAB,NL327,44500
A,EUR_HAB,NL328,35100
A,EUR_HAB,NL329,92300
A,EUR_HAB,NL33,45400
A,EUR_HAB,NL332,46100
A,EUR_HAB,NL333,52800
A,EUR_HAB,NL337,38300
A,EUR_HAB,NL33A,40000
A,EUR_HAB,NL33B,35200
A,EUR_HAB,NL33C,49600
A,EUR_HAB,NL34,37200
A,EUR_HAB,NL341,39800
A,EUR_HAB,NL342,36200
A,EUR_HAB,NL4,45600
A,EUR_HAB,NL41,47500
A,EUR_HAB,NL411,46500
A,EUR_HAB,NL412,40200
A,EUR_HAB,NL413,45800
A,EUR_HAB,NL414,54200
A,EUR_HAB,NL42,41300
A,EUR_HAB,NL421,43400
A,EUR_HAB,NL422,36900
A,EUR_HAB,NL423,42100
