DEA58;389
DEA59;190.9
DEA5A;245.4
DEA5B;229.2
DEA5C;727.1
DEB;207.4
DEB1;186.7
DEB11;1140.4
DEB12;166.5
DEB13;200.6
DEB14;183.1
DEB15;104.2
DEB17;265.6
DEB18;294.6
DEB1A;157.8
DEB1B;204.6
DEB1C;86.6
DEB1D;107.3
DEB2;108.5
DEB21;974.4
DEB22;97
DEB23;60.8
DEB24;66.5
DEB25;136.5
DEB3;303.2
DEB31;1131.7
DEB32;713.8
DEB33;563.6
DEB34;2288.8
DEB35;2293.1
DEB36;454.8
DEB37;660.9
DEB38;1328.1
DEB39;794.6
DEB3A;481.7
DEB3B;221.7
DEB3C;223
DEB3D;116.6
DEB3E;286.8
DEB3F;165.7
DEB3G;122.6
DEB3H;172.6
DEB3I;525.2
DEB3J;357.3
DEB3K;99.6
DEC;385.5
DEC0;385.5
DEC01;801
DEC02;186.5
DEC03;527.2
DEC04;425.2
DEC05;340.7
DEC06;184
DED;224.2
DED2;205.6
DED21;1715.2
DED2C;130.3
DED2D;123.3
DED2E;168.4
DED2F;149.3
DED4;219.9
DED41;1116.7
DED42;184.7
DED43;144.4
DED44;161.5
DED45;333.3
DED5;268.4
DED51;2015.4
DED52;160.5
DED53;99
DEE;108.7
DEE0;108.7
DEE01;336.1
DEE02;1783.7
DEE03;1240.3
DEE04;36.5
DEE05;112.2
DEE06;57.4
DEE07;72.6
DEE08;127.2
DEE09;102
DEE0A;94.2
DEE0B;131.4
DEE0C;134.9
DEE0D;46.7
DEE0E;65.9
DEF;188.2
DEF0;188.2
DEF01;1.576,00
DEF02;2112.6
DEF03;1141.4
DEF04;1140.6
DEF05;95.3
DEF06;161.5
DEF07;80.7
DEF08;147.5
DEF09;492.6
DEF0A;130.1
DEF0B;127.8
DEF0C;97.4
DEF0D;207.8
DEF0E;129.1
DEF0F;318.9
DEG;132.4
DEG0;132.4
DEG01;800.9
DEG02;616
DEG03;968.5
DEG04;347.7
DEG05;775.7
DEG06;106.2
DEG07;117.9
DEG09;104.9
DEG0A;71.9
DEG0B;102.2
DEG0C;145
DEG0D;86.7
DEG0E;67.7
DEG0F;127.5
DEG0G;102.1
DEG0H;131.8
DEG0I;101.8
DEG0J;101.8
DEG0K;71
DEG0L;116.1
DEG0M;158.3
DEG0N;406.8
DEG0P;92.6
NL;507.3
NL1;204.9
NL11;247.9
NL111;174.8
NL112;169.6
NL113;314.1
NL12;191
NL124;207.2
NL125;164.2
NL126;187.7
NL13;184.5
NL131;181.9
NL132;182.3
NL133;191.4
NL2;373.4
NL21;344.9
NL211;259.1
NL212;371.7
NL213;419.6
NL22;415.8
NL221;377.4
NL224;348.9
NL225;258
NL226;814.7
NL23;292.5
NL230;292.5
NL3;937.2
NL31;934.6
NL310;934.6
NL32;1041.2
NL321;341.5
NL323;1218.1
NL324;1762.1
NL325;1415.1
NL327;1273.7
NL328;1258.2
NL329;1989.2
NL33;1292.2
NL332;3389.8
NL333;1.508,00
NL337;1504.5
NL33A;852.3
NL33B;673
NL33C;1192.8
NL34;212.6
NL341;142.2
NL342;261.7
NL4;515.7
NL41;514.8
NL411;514.1
NL412;529.2
NL413;484.6
NL414;534.7
NL42;517.7
NL421;336.9
NL422;354.9
NL423;917.5
