Name,Address,City,Country,Latitude,Longitude
Rituals Turnhout,Gasthuisstraat 9,Turnhout,Belgium,51.3222037,4.946931804344123
Rituals Nieuwpoort,Albert I laan 229,Nieuwpoort,Belgium,51.1491829,2.7226254
Rituals Nivelles,Chaussee de Mons 18,Nivelles,Belgium,50.5906968,4.3094609
Rituals Lier,Antwerpsestraat 26,Lier,Belgium,51.1323713,4.5687722
Rituals Mol,Kloosterstraat 1,Mol,Belgium,51.18817955,5.119352647787124
Rituals Mechelen,Bruul 41,Mechelen,Belgium,51.0262491,4.4813311
Rituals Mortsel,Statielei 49,Mortsel,Belgium,51.1707579,4.4517758
Rituals Luik Pont d'Ile,Pont d'Ile 41-43,Luik,Belgium,50.6425781,5.5716232
Rituals Luik Belle Ile, Quai des Vennes 1,Luik,Belgium,50.616254049999995,5.593193371859492
Rituals Hasselt,Hoogstraat 4,Hasselt,Belgium,50.957591300000004,5.194526510910767
Rituals Gent Veldstraat,Veldstraat 13,Gent,Belgium,51.053289899999996,3.7225273003424793
Rituals Diest,Botermarkt 36-38,Diest,Belgium,50.982856350000006,5.052795353014902
Rituals Kortrijk,Steenpoort 2,Kortrijk,Belgium,50.826573,3.2709838
Rituals Halle Basiliekstraat,Basiliekstraat 89,Halle,Belgium,50.7340509,4.2360293
Rituals Kuurne,Ringlaan 34 (Unit 117),Kortrijk,Belgium,50.8496112,3.3691164
Rituals Knokke,Lippenslaan 325,Knokke,Belgium,51.3509935,3.2885302808816954
Rituals Aalst,Nieuwstraat 18,Aalst,Belgium,50.938270149999994,4.036515330901242
Rituals Brugge Zuidzand,Zuidzandstraat 54,Brugge,Belgium,51.20533675,3.218566044464993
Rituals Antwerpen Korte Gasthuisstraat,Korte Gasthuisstraat 7,Antwerpen,Belgium,51.217334300000005,4.404271811508067
Rituals Brussel City 2, Nieuwstraat 123,Brussel,Belgium,50.8549391,4.3585619
Rituals Charleroi Ville deux,Grand Rue 143,Charleroi,Belgium,50.41969435,4.457428869172564
Rituals Brasschaat,Bredabaan 363,Brasschaat,Belgium,51.28956305,4.490889252350401
Rituals Dendermonde,Oude Vest 18,Dendermonde,Belgium,51.02806925,4.1002900820301535
Rituals Brussel Westland,Shopping Westland Boulevard Sylvain Dupuis 433,Anderlecht,Belgium,50.8387446,4.287014988996375
DOUGLAS 1 BURGAS PLAZA,Burgas Plaza,Burgas,Bulgaria,42.53092275,27.457530944584505
BEAUTY | ZONE 10 GALLERIA BURGAS,Mall Galleria,Burgas,Bulgaria,42.5126013,27.45424849692911
BEAUTY | ZONE 6 MALL PLOVDIV, 8 Perushtitsa,Plovdiv,Bulgaria,42.1409829,24.7192895
Douglas 7 Mall Markovo Tepe,bul. Ruski 54,Plovdiv,Bulgaria,42.1363892,24.7422648
Douglas 16 Sofia Centre,Vitosha 62,Sofia,Bulgaria,42.6198333,23.3472253
Douglas 15 Retail Park Arena,Perunika 26,Shumen,Bulgaria,43.28079,26.9266377
Douglas Webshop BG,7 Iskarsko shose Blvd,Sofia,Bulgaria,42.6732119,23.3966093
BEAUTY | ZONE 11 SOFIA RING MALL, 214 Okolovrasten pat,Sofia,Bulgaria,42.6242565,23.35276697423254
DOUGLAS 8 BULGARIA MALL, 69 Bulgaria blvd.,Sofia,Bulgaria,42.66421,23.2890462
Douglas Dubrovnik P041 - Robna ku?a Mi,Nikole Tesle 2,Dubrovnik,Croatia,42.6529306,18.0875562
Douglas Osijek,Svilajska 31A,Osijek,Croatia,45.554874299999994,18.63813731084746
Douglas Mall of Split,Josipa Jovica 93,Split,Croatia,43.51911215,16.484022531173785
Douglas Zadar Supernova,Ulica Akcije Maslenica 1,Zadar,Croatia,44.11624,15.2721389
City Center One east P114,Slavonska Avenija 11D,Zagreb,Croatia,45.80238905,16.05081406492134
Douglas Zagreb Arena,Vice Vukova 6,Zagreb,Croatia,45.770265550000005,15.939970760436264
Douglas Zagreb City Center,Jankomir 33,Zagreb,Croatia,45.7992505,15.8852182
Douglas Zagreb Kaptol,Nova Ves 11,Zagreb,Croatia,45.8186064,15.9778916
Douglas Zagreb Garden Mall,Ulica Rudolfa Kolaka 14,Zagreb,Croatia,45.83620605,16.046304721847072
Rituals Liberec Forum,Soukenné nám. 669/2a,Liberec,Czech Republic,50.7656595,15.0562819
Rituals Ostrava Karolína,Jantarová 3344/4,Ostrava,Czech Republic,49.8304565,18.2848444
Rituals Ostrava Avion,Rudná 3114/114,Ostrava,Czech Republic,49.80199,18.2279661
Rituals Olomouc Santovka,Polská 1201/1,Olomouc,Czech Republic,49.5874262,17.2579195
Rituals Zlín Zlaté Jablko,nám. Míru 174,Zlín,Czech Republic,49.2263001,17.668165
Rituals Prague Václavské,Václavské nám. 815/53,Prague,Czech Republic,50.0803707,14.4295006
Rituals Prague Atrium Flora,Vinohradska 2828/151,Praha,Czech Republic,50.0789505,14.4609949
Rituals Prague Chodov, Roztylská 2321/19,Prague,Czech Republic,50.0315824,14.4911419
Rituals Brno Olympia, U dálnice 777,Brno,Czech Republic,49.1378171,16.6339525
Rituals Prague Letnany, Veselská 663,Praha,Czech Republic,50.135821050000004,14.502746398941978
Rituals Prague Cerny Most,Chlumecká 765/6,Praha,Czech Republic,50.1080761,14.5858027
Rituals Herning Centret,Merkurvej 1,Herning,Denmark,56.135342,8.999496
Rituals Vejle Søndergade,Søndergade 27,Vejle,Denmark,55.640635,9.645174
Rituals Roskilde Ro's Torv,Ro's Torv 1,Roskilde,Denmark,55.642401,12.100951
Rituals Amager Centret,Reberbanegade 3,Copenhagen S,Denmark,55.662829,12.603788
Rituals Aalborg Storcenter,Hobrovej 452,Aalborg,Denmark,57.004796,9.875935
Rituals Frederiksberg Centret,Falkoner Allé 21,Frederiksberg,Denmark,55.681463,12.534059
Rituals Odense Rosengårdcentret,Ørbækvej 75,Odense SØ,Denmark,55.382488,10.428085
Rituals Vanløse Kronen,Vanløse Torv 1,Vanløse,Denmark,55.687691,12.490848
Rituals Odense Vestergade,Vestergade 61,Odense C,Denmark,55.394877,10.383526
Rituals Lyngby Storcenter,Lyngby Storcenter,Kgs. Lyngby,Denmark,55.7718346,12.506073687222038
Rituals Aarhus Bruuns Galleri,M.P. Bruuns Gade 25,Aarhus C,Denmark,56.149231,10.203426
Rituals Rødovre Centrum,Rødovre Centrum,Rødovre,Denmark,55.679219399999994,12.457144608226105
Rituals Kolding Storcenter,Skovvangen 42,Kolding,Denmark,55.513908,9.460066
Rituals Aalborg Boulevarden,Boulevarden 1,Aalborg,Denmark,57.047302,9.920634
Rituals Hillerød SlotsArkaderne,Slotsarkaderne 225,Hillerød,Denmark,55.928899,12.298754
Rituals Farum Bytorv,Farum Bytorv 73,Farum,Denmark,55.814982,12.381818
Rituals Taastrup City 2,Cityringen 4 2630,Taastrup,Denmark,55.644627,12.277596
Rituals Herlev Bymidte Butikscenter,Herlev Torv 22,Herlev,Denmark,55.724212,12.439211
Rituals Randers Storcenter,Merkurvej 55,Randers,Denmark,56.42967,10.063987
Rituals Ballerup Centret,Ballerup-Centret 2,Ballerup,Denmark,55.728983,12.355854
Rituals Copenhagen Vimmelskaftet,Vimmelskaftet 41,København,Denmark,55.678555,12.575408
Rituals Horsens Søndergade,Søndergade 19,Horsens,Denmark,55.862059,9.847812
Rituals Greve Waves Shoppingcenter,Over Bølgen 2A,Greve,Denmark,55.597805,12.326339
Rituals Aarhus Søndergade,Søndergade 4,Aarhus C,Denmark,56.155539,10.207671
Rituals Kolding Østergade,Østergade 26,Kolding,Denmark,55.489388,9.474241
Rituals Næstved Storcenter,Næstved Storcenter,Næstved,Denmark,55.2537564,11.782396812773936
Douglas Fama VST 306,Fama põik 10,Narva,Estonia,59.3785035,28.1892804
Douglas Parnu VST 308,Papiniidu 8,Parnu,Estonia,58.3708991,24.5510691
Douglas Ulemiste VST 307,Suur-Sõjamäe 4,Tallinn,Estonia,59.4215442,24.7966912
Douglas Solaris VST 305,Estonia pst 9,Tallinn,Estonia,59.43371715,24.751310427668358
Douglas Lasnamae VST 309,Mustakivi tee 13,Tallinn,Estonia,59.4407848,24.8639230709893
Kaubamaja Tallinn,Gonsiori 2,Tallinn,Estonia,59.4337398,24.772389
Douglas Nautica VST 310,Ahtri 9,Tallinn,Estonia,59.4411111,24.7617621
Kaubamaja Tartu,Riia 1,Tartu,Estonia,58.3778377,26.7266931
Douglas Tartu Kvartal VST 304,Riia 2,Tartu,Estonia,58.3765234,26.7288304
Rituals Kuopio Matkus shopping centre,Matkuksentie 60,Kuopio,Finland,62.82309225,27.60348498251423
Rituals Raisio Mylly,Myllynkatu 1,Raisio,Finland,60.4909731,22.2004611
Rituals Oulu Ideapark,Ritaharjuntie 49,Oulu,Finland,65.0761354,25.44565158977966
Rituals Rovaniemi Revontuli,Koskikatu 27 B,Rovaniemi,Finland,66.50260245,25.72296327833487
Rituals Helsinki Mall of Tripla,Firdonkatu 2 B,Helsinki,Finland,60.1979595,24.9311919
Rituals Helsinki Itis,Itäkatu 1-5,Helsinki,Finland,60.2119467,25.0825952
Rituals Mariehamn Sittkoff Gallerian,Torggatan 13,Mariehamn,Finland,60.099122300000005,19.942611632541627
Rituals Helsinki Forum,Mannerheimintie 20,Helsinki,Finland,60.1696202,24.9380729
Rituals Helsinki Kamppi Shopping Centre,Urho Kekkosen katu 1,Helsinki,Finland,60.1690773,24.933074569992705
Rituals Vantaa Jumbo,Vantaanportinkatu 3,Vantaa,Finland,60.291594149999995,24.965677651764707
Rituals Tampere Ratina,Vuolteenkatu 1,Tampere,Finland,61.4930175,23.7673978
Rituals Lempäälä Ideapark,Ideaparkinkatu 4,Lempäälä,Finland,61.360455200000004,23.796481130101093
Rituals Espoo Sello Shopping Centre,Leppävaarankatu 3-9,Espoo,Finland,60.2175586,24.8100539
Rituals Tours Les Atlantes,Avenue Jacques Duclos,Saint-Pierre-des-Corps,France,47.3786045,0.7195972
Rituals Laval Carrefour,46 Avenue du Maréchal de Lattre de Tassigny,Laval,France,48.0798668,-0.8016006
Rituals Le Havre Docks Vauban,70 quai Frissard,Le Havre,France,49.49020125,0.12953655773988565
Rituals Thionville Geric,rue du Maillet,Thionville,France,49.3563618,6.1399628
Rituals Valenciennes Place d'Armes,12 rue de la Halle,Valenciennes,France,50.3569286,3.5242307
Rituals Pau Quartier Libre,180 Boulevard de l'Europe,Lescar,France,43.3240542,-0.4376033
Rituals Roncq Promenade de Flandre,Boulevard d'Halluin,Roncq,France,50.747226,3.1322048
Rituals Périgueux La Feuilleraie,Avenue de l'Automobile,Trélissac,France,45.199693350000004,0.7947525281756758
Rituals Mont-de-Marsan Grand Moun,200 boulevard Oscar Niemeyer,Saint-Pierre-du-Mont,France,43.8637947,-0.4802416
Rituals Brest Jean Jaurès,19 rue Jean Jaurès,Brest,France,48.3710952,-4.58912
Rituals Angers Espace Anjou,75 Avenue Montaigne,Angers,France,47.468315700000005,-0.5275023455893189
Rituals Nancy Saint-Jean,6 rue Saint-Jean,Nancy,France,48.6906336,6.1817482
Rituals Toulouse Gramont,2 Chemin de Gabardie,Toulouse,France,43.6318335,1.4848187669821862
Rituals Saint-Nazaire Ruban Bleu,6 Rue François Marceau,Saint-Nazaire,France,47.2764203,-2.2058132
Rituals Brest Phare de l'Europe,29 Route de Gouesnou,Brest,France,48.4075658,-4.4677428
Rituals Angoulême Champ de Mars,4 Place du Champ de Mars,Angoulême,France,45.6491591,0.162525
Rituals Aulnay-sous-Bois O'Parinor,Le Haut de Galy,Aulnay-sous-Bois,France,48.95714785,2.4765292458911765
Rituals Limoges Clocher,47-51 rue du Clocher,Limoges,France,45.6774763,0.9995699
Rituals Quimper Kéréon,8 rue Kéréon,Quimper,France,47.9959336,-4.103582
Rituals Strasbourg Place des Halles,24 Place des Halles,Strasbourg,France,48.5868158,7.7405187
Rituals Brive Toulzac,16-18 Rue Toulzac,Brive-la-Gaillarde,France,45.1608124,1.5329201
Rituals Marseille Prado,41 Boulevard Michelet,Marseille,France,43.1767098,5.602617
Rituals Rennes Grand Quartier,Route Saint-Malo,Saint-Grégoire,France,48.1768215,-1.7219744
Rituals Faches Aushopping,Route de Vendeville,Faches-Thumesnil,France,50.5804117,3.0862138
Rituals Saint-Omer Rives de l'Aa,2 avenue des Frais Fonds,Longuenesse,France,50.736187,2.2716326
Rituals Caen Mondeville 2,Route de Paris,Mondeville,France,49.1667011,-0.3137393
Rituals Grenoble Grand Place,55 Grand'Place,Grenoble,France,45.1576738,5.732528040848877
Rituals Antibes Via Marenda,Place des Martyrs de la Résistance,Antibes,France,43.5811104,7.1233897331190175
Rituals Paris La Défense CNIT,2 Place de la Défense,Puteaux,France,48.8926615,2.2388207
Rituals Le Mans Aushopping,ZAC du Moulin aux Moines,La Chapelle-Saint-Aubin,France,48.03667,0.17830423333333306
Rituals Nîmes Cap Costières,400 Avenue Claude Baillet,Nîmes,France,43.81255305,4.3625801887294635
Rituals Perpignan Porte d'Espagne,1 Avenue d'Espagne,Perpignan,France,42.6754674,2.8891415
Rituals Marseille Grand Littoral,11 avenue de Saint Antoine,Marseille,France,43.3659239,5.3568656
Rituals Le Mans Minimes,10 rue des Minimes,Le Mans,France,48.0027619,0.1969516
Rituals Paris Champs-Elysées,33 Avenue des Champs-Elysées,Paris,France,48.8696596,2.3068885
Rituals Rueil-Malmaison Vaillant Couturier,17 rue Paul Vaillant Couturier,Rueil-Malmaison,France,48.8772209,2.1815833
Rituals Orléans Cap Saran,2601 route nationale 20,Saran,France,47.95884125,1.8908076678802916
Rituals Nantes Rezé Océane,10 rond-point de la Corbinerie,Rezé,France,47.1604364,-1.5469345
Rituals Valence Victor Hugo,14 Avenue Victor Hugo,Valence,France,44.9297691,4.8909042
Rituals Crêches-sur-Saône Les Bouchardes,Route Nationale 6,Crêches-sur-Saône,France,46.2400738,4.7869773
Rituals Noisy Arcades,234 Boulevard du Mont d'Est,Noisy-le-Grand,France,48.8401228,2.5463945
Rituals Cannes Antibes,42 rue d'Antibes,Cannes,France,43.5525044,7.0193177
Rituals Saint-Etienne Général Foy,10 rue Général Foy,Saint-Etienne,France,45.4373727,4.3876101
Rituals Romans Marques Avenue,60 avenue Gambetta,Romans-sur-Isère,France,45.0456797,5.0593198
Rituals Bordeaux Sainte-Catherine,81-83 rue Sainte-Catherine,Bordeaux,France,44.840905,-0.5743448
Rituals Cergy Les 3 Fontaines,Rue de la Croix des Maheux,Cergy,France,49.0387634,2.0805601
Rituals Chartres Epicentre,1 Rue des Orvilles,Barjouville,France,48.4116837,1.4647148
Rituals La Baule Général de Gaulle,125 avenue du Général de Gaulle,La Baule-Escoublac,France,47.2857497,-2.3918296
Rituals Brétigny Maison Neuve,1 Avenue de la Maison Neuve,Brétigny-sur-Orge,France,48.5879073,2.3041054
Rituals Nice Nicetoile,30 avenue Jean Médecin,Nice,France,43.7015238,7.2679248
Rituals Toulon La Valette L'Avenue 83,300 Avenue de l'Université,La Valette-du-Var,France,43.1368786,6.0059141
Rituals Annecy Carnot,22 rue Carnot,Annecy,France,45.901618400000004,6.125635355801103
Rituals Bourges Avaricum,8 avenue de Peterborough,Bourges,France,47.0874712,2.3947995
Rituals Calais Cité Europe,1001 Boulevard du Kent,Coquelles,France,50.9338832,1.8112395
Rituals Cormontreuil Cora Reims,Route de Louvois,Cormontreuil,France,49.2155017,4.0508303
Rituals Rennes Orléans,2 rue d'Orléans,Rennes,France,48.1102895,-1.6790625
Rituals Saint-Paul-les-Dax,1141 Boulevard Saint Vincent de Paul,SAINT PAUL LES DAX,France,43.7303802,-1.0416073
Rituals Fenouillet La Galerie Espaces,19 Rue des Usines,Fenouillet,France,43.6946557,1.4007428
Rituals Amiens Trois Cailloux,3 rue des Trois Cailloux,Amiens,France,49.8929722,2.2983179
Rituals Montesson Carrefour,280 avenue Gabriel Péri,Montesson,France,48.92815280000001,2.145084485403286
Rituals Tours Nationale,61 rue Nationale,Tours,France,47.263375,0.466579
Rituals Anglet BAB 2,6 rue Jean Léon Laporte,Anglet,France,43.4840969,-1.5044953
Rituals Plaisir,1170 Avenue de St-Germain,Plaisir,France,48.8258681,1.9458112
Rituals Bourg-en-Bresse Maréchal Foch,1 rue Maréchal Foch,Bourg-en-Bresse,France,46.2053513,5.2271966
Rituals Wittenheim Shop In Witty,130 Rue de Soultz,Wittenheim,France,47.8098075,7.3139526
Rituals Toulouse Rue Lafayette,22 rue Lafayette,Toulouse,France,43.6046272,1.4462842
Rituals Béziers Polygone, Carrefour de L'Hours 3,Béziers,France,43.336008,3.2251954
Rituals Villeneuve-la-Garenne-Qwartz,Boulevard Gallieni 4,Villeneuve-la-Garenne,France,48.92562975,2.3286593483285136
Rituals Toulon Mayol,Rue du Mûrier,Toulon,France,43.120035,5.9348807
Rituals Paris Gare de l'Est,Place du 11 Novembre 1918,Paris,France,48.876387449999996,2.3587465558195224
Rituals Lyon République,64 Rue de la République,Lyon,France,45.7032668,4.826561
Rituals Colmar Clefs,30 rue des Clefs,Colmar,France,48.0786502,7.3595915
Rituals Caen Strasbourg,4 Rue de Strasbourg,Caen,France,49.1828085,-0.3642375034810549
Rituals Miramas Designer Outlet,Mas de la Peronne,Miramas,France,43.5916246,4.9926028
Rituals Strasbourg Grandes Arcades,57 Rue des Grandes Arcades,Strasbourg,France,48.5823981,7.7475559
Rituals Saint-Martin-d'Hères,Saint-Martin-d'Hères,Saint-Martin-d'Hères,France,45.1753821,5.789349754744375
Rituals Aix-en-Provence Espariat,53 rue Espariat,Aix-en-Provence,France,43.52715165,5.446845631866196
Rituals Mulhouse Sauvage,38 Rue du Sauvage,Mulhouse,France,47.7477967,7.339766
Rituals Rouen Carmes,23 Rue des Carmes,Rouen,France,49.4408523,1.0938015
Rituals Aéroport Toulouse Blagnac,Aéroport Toulouse Blagnac,Blagnac,France,43.6315975,1.375056
Rituals La Rochelle Temple,27 Rue du Temple,La Rochelle,France,46.1586514,-1.1528543
Rituals Nice Massena,2 Rue Massena,Nice,France,43.6978943,7.2688253
Rituals Lyon Édouard Herriot,58 Rue du Président Édouard Herriot,Lyon,France,45.7628298,4.8340788
Rituals Toulouse Blagnac,2 Allée Emile Zola 31700 Blagnac,Blagnac,France,43.6451672,1.3727103
Rituals Rosny 2,2 Avenue du Général de Gaulle,Rosny-sous-Bois,France,48.874461,2.482428
Rituals Paris Saint-Lazare,1 Cour de Rome,Paris,France,48.8756298,2.3241317
Rituals Nantes Boileau,3 Rue Boileau,Nantes,France,47.0474472,-1.1880442
Rituals Paris Passy,52 Rue de Passy,Paris,France,48.8578127,2.2790612
Rituals Paris Faubourg Saint-Antoine,47 Rue du Faubourg St Antoine,Paris,France,48.8522859,2.3727457
Rituals La Défense Les 4 Temps,15 Parvis de la Défense,Puteaux,France,48.8906441,2.237655544990453
Rituals Marseille Saint-Ferréol,58 Rue Saint-Ferréol,Marseille,France,43.2928297,5.3786208
Rituals Paris Saint-Sulpice,34 Rue Saint-Sulpice,Paris,France,48.8513894,2.3350074
Rituals Deauville Désiré Le Hoc,57 bis Rue Désiré Le Hoc,Deauville,France,49.359584,0.076032
Rituals Paris Rivoli,57 Rue de Rivoli,Paris,France,48.8591163,2.3459524
Rituals Lille Lepelletier,18 Rue Lepelletier,Lille,France,50.6383712,3.0631174
Rituals Vélizy 2,2 Avenue de l'Europe,Vélizy-Villacoublay,France,48.7840022,2.2209162
Rituals Paris Italie 2,30 Avenue d'Italie,Paris,France,48.8292422,2.3558022
Rituals Viernheim Rhein Neckar Zentrum,Robert-Schuman-Straße 8,Viernheim,Germany,49.5276848,8.5670564
Rituals Gütersloh,Berliner Straße 41,Guetersloh,Germany,51.907325,8.379462
Rituals Sankt Augustin HUMA,Rathausallee 16,Sankt Augustin,Germany,50.7778685,7.18813
Rituals Stuttgart Gerber,Sophienstraße 21,Stuttgart,Germany,48.7716263,9.1737681
Rituals Flensburg Citti Park,Langberger Weg 4,Flensburg,Germany,54.7737101,9.3967171
Rituals Leipzig Höfe am Brühl,Brühl 1,Leipzig,Germany,51.3434091,12.3754869
Rituals Bayreuth Rotmain Center,Hohenzollernring 58,Bayreuth,Germany,49.9457889,11.569291542572058
Rituals Reutlingen,Wilhelmstraße 34,Reutlingen,Germany,48.4930074,9.2108384
Rituals Lüdenscheid Stern Center,Wilhelmstraße 33,Lüdenscheid,Germany,51.2166008,7.6312221
Rituals Nürnberg Franken Center,Glogauer Straße 30-38,Nürnberg,Germany,49.40356895,11.134250769572366
Rituals Recklinghausen Palais Vest,Löhrhof 1,Recklinghausen,Germany,51.6125427,7.199378258883534
Rituals Schwedt,Landgrabenpark 1,Schwedt,Germany,53.0649284,14.272992690796032
Rituals Bremen Waterfront,AG-Weser-Straße 3,Bremen,Germany,53.112409,8.7475121
Rituals Ahrensfelde Kaufpark Eiche,Landsberger Chaussee 17,Ahrensfelde,Germany,52.5478781,13.6015835
Rituals Konstanz Lago,Bodanstraße 1,Konstanz,Germany,47.6573397,9.1765771
Rituals Aurich,Marktplatz 32,Aurich,Germany,53.4693543,7.4818926
Rituals Neustadt a.d. Weinstraße,Hauptstraße 54,Neustadt a.d. Weinstraße,Germany,49.3525568,8.1368759
Rituals Lingen,Poststrasse 5,Lingen,Germany,52.5198724,7.3191328
Rituals Schweinfurt,Gunnar-Wester-Straße 10,Schweinfurt,Germany,50.0389781,10.2232416
Rituals Düren,Kuhgasse 8,Düren,Germany,50.8057278,6.480384933305885
